date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:17	74/74	---M--	200	added ('OK')	text/plain	date:Sun,%2016%20May%202021%2022:40:51%20GMT	http://societe-nettoyage-casablanca.com/robots.txt		(from )
14:44:17	52973/52973	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2012:03:04%20GMT	http://societe-nettoyage-casablanca.com/	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/index.html	(from )
14:44:19	45300/45300	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Feb%202021%2020:59:29%20GMT	http://societe-nettoyage-casablanca.com/css/sliders/ios/style.css	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/css/sliders/ios/style.css	(from http://societe-nettoyage-casablanca.com/)
14:44:19	26499/26499	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:03:21%20GMT	http://societe-nettoyage-casablanca.com/images/logo.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/logo.png	(from http://societe-nettoyage-casablanca.com/)
14:44:23	46375/46375	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202019%2010:01:42%20GMT	http://societe-nettoyage-casablanca.com/css/responsive.css	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/css/responsive.css	(from http://societe-nettoyage-casablanca.com/)
14:44:23	447164/447164	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202019%2010:01:49%20GMT	http://societe-nettoyage-casablanca.com/css/template.css	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/css/template.css	(from http://societe-nettoyage-casablanca.com/)
14:44:25	57989/57989	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202019%2010:01:44%20GMT	http://societe-nettoyage-casablanca.com/css/base-sizing.css	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/css/base-sizing.css	(from http://societe-nettoyage-casablanca.com/)
14:44:26	1337/1337	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Feb%202021%2020:54:54%20GMT	http://societe-nettoyage-casablanca.com/css/custom.css	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/css/custom.css	(from http://societe-nettoyage-casablanca.com/)
14:44:26	13976/13976	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:54%20GMT	http://societe-nettoyage-casablanca.com/jas/modernizr.min.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/modernizr.min.js	(from http://societe-nettoyage-casablanca.com/)
14:44:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2013:44:27%20GMT	http://societe-nettoyage-casablanca.com/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from http://societe-nettoyage-casablanca.com/)
14:44:27	121457/121457	---MCZ	200	added ('OK')	text/css	etag:W/%229568d6466155669e72ed389ebb1d22f3%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.0/css/bootstrap.min.css	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/maxcdn.bootstrapcdn.com/bootstrap/3.4.0/css/bootstrap.min.css	(from http://societe-nettoyage-casablanca.com/)
14:44:27	268/268	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:02:41%20GMT	http://societe-nettoyage-casablanca.com/images/fr.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/fr.png	(from http://societe-nettoyage-casablanca.com/)
14:44:28	43221/43221	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2020:42:27%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:29	43772/43772	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Sep%202021%2022:53:48%20GMT	http://societe-nettoyage-casablanca.com/valeurs-nettoyage-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/valeurs-nettoyage-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:30	38831/38831	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2020:25:49%20GMT	http://societe-nettoyage-casablanca.com/reference-nettoyage-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/reference-nettoyage-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:31	44215/44215	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:01:19%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-particulier-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-particulier-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:32	44797/44797	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:36:54%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-professionnel-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-professionnel-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:33	42377/42377	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2011:59:50%20GMT	http://societe-nettoyage-casablanca.com/femme-menage-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/femme-menage-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:34	42540/42540	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2012:09:00%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-bureaux-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-bureaux-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:35	42335/42335	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:04:13%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-locaux-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-locaux-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:35	42254/42254	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2012:10:03%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-fin-chantier-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-fin-chantier-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:37	42400/42400	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2012:07:33%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-apres-travaux-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-apres-travaux-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:38	42713/42713	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2012:05:24%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-appartements-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-appartements-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:39	43665/43665	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:03:32%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-maisons-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-maisons-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:39	42183/42183	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:50:50%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-villas-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-villas-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:41	41453/41453	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:04:48%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-industriel-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-industriel-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:42	42891/42891	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:43:16%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-residences-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-residences-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:43	42298/42298	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:05:40%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-hotels-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-hotels-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:43	41521/41521	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2021:47:42%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-restaurants-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-restaurants-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:45	42040/42040	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2022:06:38%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-vitres-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-vitres-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:46	42511/42511	---M--	200	added ('OK')	text/html	date:Sun,%2009%20May%202021%2022:37:35%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-moquettes-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-moquettes-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:47	42595/42595	---M--	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2020:51:40%20GMT	http://societe-nettoyage-casablanca.com/nettoyage-parquet-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/nettoyage-parquet-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:47	42292/42292	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2022:29:10%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-entretien-sol-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-entretien-sol-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:49	42814/42814	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2021:36:39%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-cristallisation-marbre-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-cristallisation-marbre-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:50	42306/42306	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2022:44:16%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-poncage-parquet-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-poncage-parquet-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:51	42386/42386	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2022:36:58%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-moquette-casablanca-maroc.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-moquette-casablanca-maroc.html	(from http://societe-nettoyage-casablanca.com/)
14:44:51	42699/42699	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2022:48:42%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-tapis-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-tapis-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:53	42807/42807	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2020:35:19%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-canapes-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-canapes-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:54	42832/42832	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2020:45:43%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-chaises-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-chaises-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:55	42717/42717	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2021:25:57%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-cristallisation-carrelage-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-cristallisation-carrelage-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:55	42772/42772	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2022:20:24%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-cristallisation-mosaique-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-cristallisation-mosaique-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:57	43409/43409	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2022:24:26%20GMT	http://societe-nettoyage-casablanca.com/societe-Nettoyage-Degraissage-hottes-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-Nettoyage-Degraissage-hottes-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
14:44:58	43143/43143	---M--	200	added ('OK')	text/html	date:Sat,%2015%20May%202021%2022:50:32%20GMT	http://societe-nettoyage-casablanca.com/societe-nettoyage-ventilation-mecanique-casablanca.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/societe-nettoyage-ventilation-mecanique-casablanca.html	(from http://societe-nettoyage-casablanca.com/)
